"","datetime","city","state","country","shape","DurationSeconds","DurationHrsMins","comments","DatePosted","latitude","longitude"
"22","10/10/1974 21:30","cardiff (uk/wales)",NA,"gb","disk","1200","20 minutes","back in 1974 I was 19 at the time and  lived in a suburb of Cardiff Wales UK called Ely&#44 and in the distance there was a wood called Ca",2007-02-01,51.5,-3.2
"2407","10/15/2008 24:00","hull (uk/england)",NA,"gb","disk","420","7 mins","2 orangey red discs similar to other reports from the time.",2009-03-19,53.716667,-0.333333
"3848","10/21/2007 03:20","hereford (uk/england)",NA,"gb","disk","900","15 minutes","moving lights spotted above hereford in england",2007-11-28,52.05,-2.716667
"4755","10/24/2007 17:40","stevenage (uk/england)",NA,"gb","disk","120","2 minutes","Yellow disk over Stevenage.  ((NUFORC Note:  Student report.  PD))",2007-11-28,51.916667,-0.216667
"6924","10/4/2001 09:45","london (uk/england)",NA,"gb","disk","30","30 sec","Transparent disk leaves nuclear plant",2001-10-12,51.514125,-0.093689
"7677","10/7/2008 19:15","sheffield (uk/england)",NA,"gb","disk","180","3 minutes","a small flat disked shape&#44 orange coloured&#44 with orange rays coming off&#44 moved further in the sky at late evening.",2008-10-31,53.366667,-1.5
"8206","1/10/1971 21:00","preston (uk/england)",NA,"gb","disk","180","2 to 3 mins","about 60 ft long red and yellow lights a big spotlight hoverd overhead about 500yds to the north of us for about 2 to 3 minutes no nois",2003-12-19,50.783333,-0.466667
"8390","1/10/2011 11:10","kent (uk/england)",NA,"gb","disk","300","5 minutes","The area it went into a vertical climb was where the USAAF from Nebraska were stationed in WW2. A coincidence but true.",2011-10-10,51.25,0.75
"10296","11/15/1962 23:00","cardiff (uk/wales)",NA,"gb","disk","300","5 mins","This happened in november 1962. It was a large round saucer with revolving lights in the middle.",2008-06-12,51.5,-3.2
"12023","1/1/1978 00:00","london (uk/englnd)",NA,"gb","disk","1","1 second","Twin-disc &#39pivoting&#39 UFO observed to rapidly cross the skies of Slough&#44 U.K.&#44 in 1977/ 1978.",2008-06-12,51.514125,-0.093689
"12318","1/1/2008 00:10","ellesmere port (uk/england)",NA,"gb","disk","120","2 minutes","saucer shape craft with orange light",2008-01-21,53.283333,-2.9
"12371","1/1/2009 00:20","london (uk/england)",NA,"gb","disk","420","7minutes","orange round vessel in sky over Chertsey Surrey.",2009-01-10,51.514125,-0.093689
"12797","11/20/1998 21:45","launceston (uk/england)",NA,"gb","disk","600","10 mins","saurcer with 7 lights",2001-02-18,50.633889,-4.364444
"14345","11/25/2006 02:30","norwich (norfold) (uk/england)",NA,"gb","disk","90","1.30","the 3 discs travelled in a circle and turned to sparks",2006-12-07,52.633333,1.3
"14689","11/27/2004 00:00","dunstable (uk/england)",NA,"gb","disk","600","10 mins","UFO dancing",2004-12-03,51.883333,-0.516667
"15125","11/29/2002 19:30","canterbury (uk/england)",NA,"gb","disk","0","town","It was glowing it was a saucer it was yellow and had a white top.",2002-12-23,51.266667,1.083333
"17095","1/16/2009 18:00","blackpool (uk/england)",NA,"gb","disk","30","30 sec","flying disc over norbreck jan 2009",2009-03-19,53.816667,-3.05
"18871","12/10/2008 02:00","leicester (uk/england)",NA,"gb","disk","30","30 seconds","it moved across the sky with small flashing lights on it and it was very quick and it dissapearred into a cloud.",2009-03-19,52.664913,-1.034894
"18929","12/10/2013 02:55","bristol (uk/england)",NA,"gb","disk","900","15 minutes","UFO sighting in bristol bright lights hovering still and cricling the sky before landing.",2013-12-12,51.45,-2.583333
"19632","12/12/2002 06:00","somerset (uk/england)",NA,"gb","disk","1560","26 mins","one  disk&#44 with bright lights over my house",2003-03-04,51.083333,-3
"21441","12/20/2006 23:00","liverpool (uk/england)",NA,"gb","disk","1800","30 mins","A string of light chasing in the sky (Madness)",2007-02-01,53.416667,-3
"21840","12/2/2007 04:35","bridgewater (uk/england)",NA,"gb","disk","2","seconds","craft over uk village",2008-06-12,51.129722,-3.000556
"23138","12/27/2000 22:35","leeds (uk/england)",NA,"gb","disk","6","6 sec&#39s","Sausage shape&#44 bright white&#44 traveling east to west.",2001-01-03,53.8,-1.583333
"23961","12/31/2007 00:20","aldershot (uk/england)",NA,"gb","disk","240","3 to 4 minutes","3 Bright Orange Lights&#44 Moving North&#44 North Easterly&#44 Lasting 3 To 4 Minutes",2008-02-14,51.25,-0.766667
"24709","1/24/2003 03:20","stoke-on-trent (uk/england)",NA,"gb","disk","180","3mins","Sighting first by my husband a 100% life long sceptic he awoke me to see the unusual sightquite high above the horizon over farmland/fo",2003-03-04,53,-2.183333
"25570","1/26/2008 19:20","basingstoke (uk/england)",NA,"gb","disk","30","30 secs","ufo basingstoke u.k.",2008-02-14,51.266667,-1.083333
"26121","1/28/2003 14:08","london (uk/england)",NA,"gb","disk","180","3 mins","strange disk shapes in opening of clouds",2003-03-04,51.514125,-0.093689
"26158","12/8/2005 00:30","blackpool (uk/england)",NA,"gb","disk","420","about 7 mins","=Ufo over train station/ makes a powercut/lasts 7 mins/makes air raid siren noise/ turns into water=",2007-02-24,53.816667,-3.05
"27071","1/3/2006 11:30","rainham (uk/england)",NA,"gb","disk","40","40 secs","disk shaped craft with intense bright white lights travelling northwest.",2006-02-14,51.35,0.6
"27415","1/5/1976 21:00","folkestone (uk/england)",NA,"gb","disk","3600","1 hour?","Saucer shaped object&#44 flying slowly and silently&#44 with coloured lights moved towards the bright light. I signalled to it&#44",2005-05-11,51.083333,1.183333
"28996","2/12/2001 18:30","glasgow (uk/scotland)",NA,"gb","disk","180","3 mins","weirdest thing we have ever seen certainly not an aircraft",2001-03-06,55.833333,-4.25
"29374","2/14/2002 22:36","stroud (uk/england)",NA,"gb","disk","300","5min","Blue Saucer-shaped with white&#44 yellow&#44 and orange ext lights appeared and seemed to be searching over a lake&#44 then left.",2003-08-01,51.75,-2.2
"29786","2/15/2009 20:00","stafford (uk/england)",NA,"gb","disk","145","2 mins 25 secs","Same 3 ufo&#39s appear again and may have been experimenting on local animals. 500 Lights On Object0: Yes",2009-03-19,52.833333,-2
"31578","2/24/2004 22:00","paisley (uk/scotland)",NA,"gb","disk","0",NA,"Several nights in a row&#44 unsual hovering lights in the sky&#44 flashing red&#44 white&#44 blue flashing on a wide object in the sky.",2004-03-02,55.833333,-4.433333
"32459","2/3/2007 20:32","reading (uk/england)",NA,"gb","disk","180","2-3 mins","ufo in reading(uk)  500 Lights On Object0: Yes",2007-02-24,51.433333,-1
"32917","2/6/2001 22:50","carlisle (uk/england)",NA,"gb","disk","900","15mins","Three dark grey saucers in the air hovering.",2001-08-05,54.883333,-2.933333
"33306","2/8/2007 07:20","darlington (uk/england)",NA,"gb","disk","2","00:02","A flat grey to white saucer shaped craft moving on a slight angle in an easterly direction. North East UK.",2007-08-07,50.45,-3.716667
"33493","2/9/2006 13:58","london (uk/england)",NA,"gb","disk","0","photo caught image","sighting above millenium dome",2006-07-16,51.514125,-0.093689
"33645","3/10/2004 03:00","great yarmouth (uk/england)",NA,"gb","disk","30","30 seconds","Disc/Saucer shaped object seen in early morning night sky over Great  Yarmouth&#44 England",2004-10-27,52.633333,1.75
"34094","3/1/2001 10:35","leeds (uk/england)",NA,"gb","disk","2","few seconds","A UFO mistaken for an aeroplane&#44 caught on camera.",2001-03-06,53.8,-1.583333
"34350","3/12/2002 00:00","warrington (uk/england)",NA,"gb","disk","12","12secs","IT ALL HAPPENED SO FAST AND I WAS SCARED&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33",2002-03-19,53.383333,-2.6
"35051","3/15/1991 12:00","hertfordshire (uk/england)",NA,"gb","disk","30","30secs","fiery disc object seen moving across sky.moving away then returning&#44 then moving away at high speed",2001-08-05,51.833333,-0.25
"35430","3/16/2004 15:00","dunstable (uk/england)",NA,"gb","disk","1200","20 minuits","saucer shaped craft",2004-03-17,51.883333,-0.516667
"35876","3/18/2012 19:50","hertford (uk/england)",NA,"gb","disk","180","2 times 3 minutes","Red glowing pulsing sphere stopping in flight and hovering over Hertford&#44 England",2012-05-13,51.8,-0.066667
"38588","3/4/2006 18:30","canterbury (near)&#44 dover&#44 kent (uk/england)",NA,"gb","disk","40","40 seconds","100mw Red pulsar laser chased off  UFO.",2006-03-11,51.266667,1.083333
"39713","4/10/2006 13:20","fleetwood (uk/england)",NA,"gb","disk","30","around 30 seconds","Ok &#44 something weird has just happened like five minutes ago...I opened my curtains and looked outside and I saw a kind of black di",2006-05-15,53.916667,-3
"41010","4/15/1993 24:00","london (uk/england)",NA,"gb","disk","1200","20 minutes","I know now that these ufo saucers visited and studied this part of north london between april and may 1993 their activities were intenc",2012-06-20,51.514125,-0.093689
"41459","4/16/2009 15:40","lincoln (uk/england)",NA,"gb","disk","120","2 minutes","Lincolnshire&#44 England",2009-05-12,53.233333,-0.533333
"42443","4/21/2007 16:30","bridgend (uk/wales)",NA,"gb","disk","300","5 mins aprox","daylight sighting of a classic disc type object.",2007-06-12,51.505833,-3.577222
"43270","4/24/2011 15:00","harrogate (uk/england)",NA,"gb","disk","300","5 mins","ufo&#39s shock family",2011-05-02,53.983333,-1.533333
"44009","4/28/2011 17:57","liverpool (kirkdale) (uk/england)",NA,"gb","disk","5","5 sec","VERY VISIBLE&#33",2011-05-02,53.416667,-3
"44989","4/6/1996 20:00","st. helens (uk/england)",NA,"gb","disk","360","6 mins","Saucer shaped craft&#44 stationary in sky at night&#44 white visible silhouette no surface detail",2003-03-04,53.45,-2.733333
"45192","4/7/2001 22:54","eynsham (uk/england)",NA,"gb","disk","120","2minutes","1 landed and abducted the dog",2001-08-05,51.766667,-1.383333
